nohup: ignoring input
Downloading pydantic-core (2.0MiB)
Downloading wandb (26.0MiB)
 Downloaded pydantic-core
 Downloaded wandb
Installed 11 packages in 28ms
{
  "clean_dir": "div2k/div2k_train",
  "val_clean_dir": null,
  "output": "unet_pretrain.pt",
  "checkpoint_dir": "unet_pretrain/checkpoints",
  "epochs": 100,
  "batch_size": 8,
  "crop_size": 256,
  "noise_sigma": 25.0,
  "lr": 0.0001,
  "weight_decay": 0.0,
  "val_fraction": 0.05,
  "num_workers": 4,
  "seed": 42,
  "save_every": 5
}
train images: 760 | val images: 40
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: kidflash7011 (kidflash7011-chenchi-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlwt3ny6
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /home/ubuntu/IP_F/project/wandb/run-20260527_111855-jlwt3ny6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run unet-pretrain-001
wandb: ⭐️ View project at https://wandb.ai/kidflash7011-chenchi-university/ip-final-project
[epoch 027] step 0001/0095 train_mse=0.001688 psnr=27.73dB
[epoch 027] step 0020/0095 train_mse=0.001383 psnr=28.59dB
[epoch 027] step 0040/0095 train_mse=0.001749 psnr=27.57dB
[epoch 027] step 0060/0095 train_mse=0.001924 psnr=27.16dB
[epoch 027] step 0080/0095 train_mse=0.001983 psnr=27.03dB
[epoch 027/100] train_mse=0.001728 train_psnr=27.63dB val_mse=0.002187 val_psnr=26.60dB
[epoch 028] step 0001/0095 train_mse=0.002260 psnr=26.46dB
[epoch 028] step 0020/0095 train_mse=0.001525 psnr=28.17dB
[epoch 028] step 0040/0095 train_mse=0.001474 psnr=28.31dB
[epoch 028] step 0060/0095 train_mse=0.001466 psnr=28.34dB
[epoch 028] step 0080/0095 train_mse=0.001545 psnr=28.11dB
[epoch 028/100] train_mse=0.001773 train_psnr=27.51dB val_mse=0.002094 val_psnr=26.79dB
[epoch 029] step 0001/0095 train_mse=0.001267 psnr=28.97dB
[epoch 029] step 0020/0095 train_mse=0.001001 psnr=30.00dB
[epoch 029] step 0040/0095 train_mse=0.002557 psnr=25.92dB
[epoch 029] step 0060/0095 train_mse=0.001085 psnr=29.64dB
[epoch 029] step 0080/0095 train_mse=0.001263 psnr=28.98dB
[epoch 029/100] train_mse=0.001642 train_psnr=27.85dB val_mse=0.002125 val_psnr=26.73dB
[epoch 030] step 0001/0095 train_mse=0.001253 psnr=29.02dB
[epoch 030] step 0020/0095 train_mse=0.001477 psnr=28.31dB
[epoch 030] step 0040/0095 train_mse=0.001380 psnr=28.60dB
[epoch 030] step 0060/0095 train_mse=0.002756 psnr=25.60dB
[epoch 030] step 0080/0095 train_mse=0.001629 psnr=27.88dB
[epoch 030/100] train_mse=0.001648 train_psnr=27.83dB val_mse=0.002082 val_psnr=26.82dB
[epoch 031] step 0001/0095 train_mse=0.002033 psnr=26.92dB
[epoch 031] step 0020/0095 train_mse=0.002256 psnr=26.47dB
[epoch 031] step 0040/0095 train_mse=0.001657 psnr=27.81dB
[epoch 031] step 0060/0095 train_mse=0.002860 psnr=25.44dB
[epoch 031] step 0080/0095 train_mse=0.001337 psnr=28.74dB
[epoch 031/100] train_mse=0.001605 train_psnr=27.95dB val_mse=0.002065 val_psnr=26.85dB
[epoch 032] step 0001/0095 train_mse=0.001445 psnr=28.40dB
[epoch 032] step 0020/0095 train_mse=0.001504 psnr=28.23dB
[epoch 032] step 0040/0095 train_mse=0.000959 psnr=30.18dB
[epoch 032] step 0060/0095 train_mse=0.002162 psnr=26.65dB
[epoch 032] step 0080/0095 train_mse=0.001288 psnr=28.90dB
[epoch 032/100] train_mse=0.001594 train_psnr=27.97dB val_mse=0.001972 val_psnr=27.05dB
[epoch 033] step 0001/0095 train_mse=0.001092 psnr=29.62dB
[epoch 033] step 0020/0095 train_mse=0.001473 psnr=28.32dB
[epoch 033] step 0040/0095 train_mse=0.001817 psnr=27.41dB
[epoch 033] step 0060/0095 train_mse=0.001429 psnr=28.45dB
[epoch 033] step 0080/0095 train_mse=0.001071 psnr=29.70dB
[epoch 033/100] train_mse=0.001521 train_psnr=28.18dB val_mse=0.001941 val_psnr=27.12dB
[epoch 034] step 0001/0095 train_mse=0.001161 psnr=29.35dB
[epoch 034] step 0020/0095 train_mse=0.002155 psnr=26.67dB
[epoch 034] step 0040/0095 train_mse=0.001522 psnr=28.17dB
[epoch 034] step 0060/0095 train_mse=0.001796 psnr=27.46dB
[epoch 034] step 0080/0095 train_mse=0.001257 psnr=29.01dB
[epoch 034/100] train_mse=0.001562 train_psnr=28.06dB val_mse=0.001942 val_psnr=27.12dB
[epoch 035] step 0001/0095 train_mse=0.001611 psnr=27.93dB
[epoch 035] step 0020/0095 train_mse=0.001316 psnr=28.81dB
[epoch 035] step 0040/0095 train_mse=0.001307 psnr=28.84dB
[epoch 035] step 0060/0095 train_mse=0.001014 psnr=29.94dB
[epoch 035] step 0080/0095 train_mse=0.001748 psnr=27.57dB
[epoch 035/100] train_mse=0.001578 train_psnr=28.02dB val_mse=0.001899 val_psnr=27.22dB
[epoch 036] step 0001/0095 train_mse=0.002257 psnr=26.46dB
[epoch 036] step 0020/0095 train_mse=0.002346 psnr=26.30dB
[epoch 036] step 0040/0095 train_mse=0.001362 psnr=28.66dB
[epoch 036] step 0060/0095 train_mse=0.001962 psnr=27.07dB
[epoch 036] step 0080/0095 train_mse=0.002238 psnr=26.50dB
[epoch 036/100] train_mse=0.001582 train_psnr=28.01dB val_mse=0.001860 val_psnr=27.31dB
[epoch 037] step 0001/0095 train_mse=0.001651 psnr=27.82dB
[epoch 037] step 0020/0095 train_mse=0.002070 psnr=26.84dB
[epoch 037] step 0040/0095 train_mse=0.002256 psnr=26.47dB
[epoch 037] step 0060/0095 train_mse=0.001243 psnr=29.06dB
[epoch 037] step 0080/0095 train_mse=0.001154 psnr=29.38dB
[epoch 037/100] train_mse=0.001548 train_psnr=28.10dB val_mse=0.001878 val_psnr=27.26dB
[epoch 038] step 0001/0095 train_mse=0.001541 psnr=28.12dB
[epoch 038] step 0020/0095 train_mse=0.002144 psnr=26.69dB
[epoch 038] step 0040/0095 train_mse=0.002244 psnr=26.49dB
[epoch 038] step 0060/0095 train_mse=0.001671 psnr=27.77dB
[epoch 038] step 0080/0095 train_mse=0.001304 psnr=28.85dB
